case_id,crime_head,unit_id,district_id,reg_date,reg_datetime,day_of_week,hour_of_day,time_band,month_num,year_num,year_month,is_chargesheeted,victim_age,victim_age_band,victim_gender,narrative
1001,91,4430011,31,2024-11-27,2024-11-27 04:03:00,3,4,1,11,2024,202411,false,18,1,M,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1002,12,4430011,31,2025-01-09,2025-01-09 18:13:00,4,18,4,1,2025,202501,true,16,0,F,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1003,12,4430011,31,2024-03-12,2024-03-12 07:27:00,2,7,1,3,2024,202403,false,17,0,M,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1004,12,4430011,31,2024-08-16,2024-08-16 20:37:00,5,20,5,8,2024,202408,true,39,2,M,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1005,45,4430007,29,2024-02-17,2024-02-17 17:26:00,6,17,4,2,2024,202402,true,23,1,O,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1006,45,4430006,29,2024-11-11,2024-11-11 17:37:00,1,17,4,11,2024,202411,false,50,3,F,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1007,12,4430011,31,2024-04-09,2024-04-09 17:03:00,2,17,4,4,2024,202404,true,53,3,O,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1008,91,4430011,31,2025-03-13,2025-03-13 10:59:00,4,10,2,3,2025,202503,true,43,2,M,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1009,45,4430006,29,2024-07-03,2024-07-03 22:36:00,3,22,5,7,2024,202407,false,33,2,F,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1010,12,4430006,29,2025-04-04,2025-04-04 09:32:00,5,9,2,4,2025,202504,true,40,2,F,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1011,91,4430006,29,2024-06-04,2024-06-04 15:42:00,2,15,3,6,2024,202406,false,18,1,O,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1012,78,4430011,31,2024-11-17,2024-11-17 10:31:00,7,10,2,11,2024,202411,false,51,3,M,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1013,91,4430011,31,2024-04-05,2024-04-05 08:42:00,5,8,2,4,2024,202404,true,18,1,O,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1014,91,4430007,29,2024-11-13,2024-11-13 20:45:00,3,20,5,11,2024,202411,false,38,2,F,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1015,78,4430006,29,2024-01-24,2024-01-24 14:39:00,3,14,3,1,2024,202401,false,21,1,M,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1016,45,4430007,29,2024-10-21,2024-10-21 04:25:00,1,4,1,10,2024,202410,false,72,4,M,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1017,91,4430011,31,2024-06-19,2024-06-19 14:17:00,3,14,3,6,2024,202406,true,70,4,F,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1018,91,4430007,29,2024-10-12,2024-10-12 22:43:00,6,22,5,10,2024,202410,true,70,4,M,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1019,45,4430006,29,2024-06-03,2024-06-03 02:14:00,1,2,0,6,2024,202406,true,56,3,F,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1020,78,4430006,29,2024-07-05,2024-07-05 08:09:00,5,8,2,7,2024,202407,false,40,2,O,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1021,12,4430007,29,2024-11-22,2024-11-22 04:57:00,5,4,1,11,2024,202411,false,69,4,O,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1022,91,4430007,29,2025-02-05,2025-02-05 12:06:00,3,12,3,2,2025,202502,true,44,2,M,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1023,45,4430007,29,2024-07-14,2024-07-14 02:10:00,7,2,0,7,2024,202407,true,21,1,M,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1024,45,4430011,31,2024-04-14,2024-04-14 00:06:00,7,0,0,4,2024,202404,true,37,2,M,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1025,91,4430006,29,2024-07-31,2024-07-31 19:40:00,3,19,4,7,2024,202407,false,30,2,O,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1026,12,4430006,29,2025-01-07,2025-01-07 15:54:00,2,15,3,1,2025,202501,false,45,3,F,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1027,78,4430006,29,2025-05-06,2025-05-06 15:09:00,2,15,3,5,2025,202505,false,20,1,O,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1028,45,4430011,31,2024-09-28,2024-09-28 15:01:00,6,15,3,9,2024,202409,false,27,1,O,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1029,12,4430011,31,2025-01-05,2025-01-05 04:19:00,7,4,1,1,2025,202501,false,55,3,O,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1030,78,4430006,29,2024-09-24,2024-09-24 16:22:00,2,16,4,9,2024,202409,true,63,4,O,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1031,45,4430011,31,2025-05-29,2025-05-29 10:51:00,4,10,2,5,2025,202505,false,64,4,M,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1032,45,4430006,29,2024-09-02,2024-09-02 12:33:00,1,12,3,9,2024,202409,true,45,3,M,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1033,91,4430007,29,2024-01-29,2024-01-29 08:12:00,1,8,2,1,2024,202401,true,58,3,F,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1034,78,4430007,29,2025-04-02,2025-04-02 23:05:00,3,23,5,4,2025,202504,true,28,1,F,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1035,45,4430007,29,2024-07-20,2024-07-20 10:39:00,6,10,2,7,2024,202407,true,71,4,M,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1036,78,4430011,31,2025-05-05,2025-05-05 20:05:00,1,20,5,5,2025,202505,true,67,4,F,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1037,45,4430007,29,2024-07-23,2024-07-23 15:50:00,2,15,3,7,2024,202407,true,54,3,O,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1038,91,4430011,31,2025-02-09,2025-02-09 14:05:00,7,14,3,2,2025,202502,true,60,4,M,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1039,91,4430011,31,2024-01-29,2024-01-29 04:09:00,1,4,1,1,2024,202401,false,53,3,F,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1040,45,4430006,29,2024-12-24,2024-12-24 04:00:00,2,4,1,12,2024,202412,false,65,4,O,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1041,45,4430007,29,2024-04-15,2024-04-15 16:55:00,1,16,4,4,2024,202404,false,26,1,M,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1042,45,4430007,29,2024-01-29,2024-01-29 08:32:00,1,8,2,1,2024,202401,false,29,1,F,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1043,91,4430006,29,2024-09-22,2024-09-22 17:03:00,7,17,4,9,2024,202409,false,72,4,F,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1044,45,4430011,31,2025-06-13,2025-06-13 13:09:00,5,13,3,6,2025,202506,true,47,3,F,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1045,12,4430006,29,2024-07-06,2024-07-06 19:11:00,6,19,4,7,2024,202407,false,23,1,O,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1046,12,4430007,29,2024-05-03,2024-05-03 17:43:00,5,17,4,5,2024,202405,true,47,3,F,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
1047,12,4430006,29,2024-04-18,2024-04-18 17:12:00,4,17,4,4,2024,202404,true,31,2,M,Complainant reports incident near main road; property snatched and accused fled on two-wheeler.
